quarter_year,group,severity,n_casualties,n_lads,casualties_per_lad,base_2019,casualty_index
2019 Q1,Bradford,2,35,1,35,39.75,88.0503144654088
2019 Q1,Bradford,3,214,1,214,236.75,90.39070749736008
2019 Q1,Bradford's matched-control LADs,1,86,35,2.4571428571428573,1.9998290982555342,122.86764200432133
2019 Q1,Bradford's matched-control LADs,2,1087,58,18.74137931034483,20.573275862068964,91.09574690970041
2019 Q1,Bradford's matched-control LADs,3,6288,58,108.41379310344827,112.68103448275862,96.21299058985541
2019 Q2,Bradford,1,2,1,2,2.25,88.88888888888889
2019 Q2,Bradford,2,27,1,27,39.75,67.9245283018868
2019 Q2,Bradford,3,230,1,230,236.75,97.14889123548046
2019 Q2,Bradford's matched-control LADs,1,55,31,1.7741935483870968,1.9998290982555342,88.71725838646607
2019 Q2,Bradford's matched-control LADs,2,1159,58,19.982758620689655,20.573275862068964,97.12968782736226
2019 Q2,Bradford's matched-control LADs,3,6269,58,108.08620689655173,112.68103448275862,95.92227067554127
2019 Q3,Bradford,1,3,1,3,2.25,133.33333333333334
2019 Q3,Bradford,2,43,1,43,39.75,108.17610062893081
2019 Q3,Bradford,3,237,1,237,236.75,100.10559662090813
2019 Q3,Bradford's matched-control LADs,1,68,39,1.7435897435897436,1.9998290982555342,87.18693737933356
2019 Q3,Bradford's matched-control LADs,2,1224,58,21.103448275862068,20.573275862068964,102.57699560025142
2019 Q3,Bradford's matched-control LADs,3,6448,58,111.17241379310344,112.68103448275862,98.66115828934282
2019 Q4,Bradford,1,2,1,2,2.25,88.88888888888889
2019 Q4,Bradford,2,54,1,54,39.75,135.8490566037736
2019 Q4,Bradford,3,266,1,266,236.75,112.35480464625132
2019 Q4,Bradford's matched-control LADs,1,83,41,2.024390243902439,1.9998290982555342,101.22816222987903
2019 Q4,Bradford's matched-control LADs,2,1303,58,22.46551724137931,20.573275862068964,109.19756966268595
2019 Q4,Bradford's matched-control LADs,3,7137,58,123.05172413793103,112.68103448275862,109.2035804452605
2020 Q1,Bradford,1,2,1,2,2.25,88.88888888888889
2020 Q1,Bradford,2,57,1,57,39.75,143.39622641509433
2020 Q1,Bradford,3,238,1,238,236.75,100.52798310454065
2020 Q1,Bradford's matched-control LADs,1,66,38,1.736842105263158,1.9998290982555342,86.84952663096153
2020 Q1,Bradford's matched-control LADs,2,1052,58,18.137931034482758,20.573275862068964,88.162581185837
2020 Q1,Bradford's matched-control LADs,3,5601,58,96.56896551724138,112.68103448275862,85.70117053018132
2020 Q2,Bradford,1,2,1,2,2.25,88.88888888888889
2020 Q2,Bradford,2,25,1,25,39.75,62.893081761006286
2020 Q2,Bradford,3,129,1,129,236.75,54.48785638859557
2020 Q2,Bradford's matched-control LADs,1,44,26,1.6923076923076923,1.9998290982555342,84.6226156917061
2020 Q2,Bradford's matched-control LADs,2,694,58,11.96551724137931,20.573275862068964,58.16048606746281
2020 Q2,Bradford's matched-control LADs,3,2955,58,50.94827586206897,112.68103448275862,45.2145971999082
2020 Q3,Bradford,1,2,1,2,2.25,88.88888888888889
2020 Q3,Bradford,2,35,1,35,39.75,88.0503144654088
2020 Q3,Bradford,3,201,1,201,236.75,84.89968321013727
2020 Q3,Bradford's matched-control LADs,1,59,33,1.7878787878787878,1.9998290982555342,89.40157883683
2020 Q3,Bradford's matched-control LADs,2,1051,58,18.120689655172413,20.573275862068964,88.07877645086948
2020 Q3,Bradford's matched-control LADs,3,5140,58,88.62068965517241,112.68103448275862,78.6473873460332
2020 Q4,Bradford,1,2,1,2,2.25,88.88888888888889
2020 Q4,Bradford,2,39,1,39,39.75,98.11320754716981
2020 Q4,Bradford,3,190,1,190,236.75,80.25343189017951
2020 Q4,Bradford's matched-control LADs,1,60,27,2.2222222222222223,1.9998290982555342,111.1206064638565
2020 Q4,Bradford's matched-control LADs,2,946,58,16.310344827586206,20.573275862068964,79.27927927927928
2020 Q4,Bradford's matched-control LADs,3,5363,58,92.46551724137932,112.68103448275862,82.05952107719379
2021 Q1,Bradford,1,4,1,4,2.25,177.77777777777777
2021 Q1,Bradford,2,29,1,29,39.75,72.95597484276729
2021 Q1,Bradford,3,172,1,172,236.75,72.65047518479409
2021 Q1,Bradford's matched-control LADs,1,34,20,1.7,1.9998290982555342,85.00726394485022
2021 Q1,Bradford's matched-control LADs,2,742,58,12.793103448275861,20.573275862068964,62.18311334590404
2021 Q1,Bradford's matched-control LADs,3,3731,58,64.32758620689656,112.68103448275862,57.08821054242216
2021 Q2,Bradford,1,2,1,2,2.25,88.88888888888889
2021 Q2,Bradford,2,87,1,87,39.75,218.8679245283019
2021 Q2,Bradford,3,332,1,332,236.75,140.2323125659979
2021 Q2,Bradford's matched-control LADs,1,69,37,1.864864864864865,1.9998290982555342,93.25121164061471
2021 Q2,Bradford's matched-control LADs,2,1192,58,20.551724137931036,20.573275862068964,99.89524408129061
2021 Q2,Bradford's matched-control LADs,3,5695,58,98.1896551724138,112.68103448275862,87.13946905363017
2021 Q3,Bradford,1,3,1,3,2.25,133.33333333333334
2021 Q3,Bradford,2,82,1,82,39.75,206.28930817610063
2021 Q3,Bradford,3,323,1,323,236.75,136.43083421330516
2021 Q3,Bradford's matched-control LADs,1,63,32,1.96875,1.9998290982555342,98.44591228907287
2021 Q3,Bradford's matched-control LADs,2,1311,58,22.603448275862068,20.573275862068964,109.86800754242616
2021 Q3,Bradford's matched-control LADs,3,5758,58,99.27586206896552,112.68103448275862,88.10343508530335
2021 Q4,Bradford,1,3,1,3,2.25,133.33333333333334
2021 Q4,Bradford,2,96,1,96,39.75,241.50943396226415
2021 Q4,Bradford,3,313,1,313,236.75,132.20696937697994
2021 Q4,Bradford's matched-control LADs,1,96,40,2.4,1.9998290982555342,120.01025498096502
2021 Q4,Bradford's matched-control LADs,2,1383,58,23.844827586206897,20.573275862068964,115.90194846008801
2021 Q4,Bradford's matched-control LADs,3,6075,58,104.74137931034483,112.68103448275862,92.95386733991278
2022 Q1,Bradford,1,1,1,1,2.25,44.44444444444444
2022 Q1,Bradford,2,65,1,65,39.75,163.52201257861634
2022 Q1,Bradford,3,238,1,238,236.75,100.52798310454065
2022 Q1,Bradford's matched-control LADs,1,65,31,2.096774193548387,1.9998290982555342,104.84766900218716
2022 Q1,Bradford's matched-control LADs,2,1212,58,20.896551724137932,20.573275862068964,101.57133878064111
2022 Q1,Bradford's matched-control LADs,3,5530,58,95.34482758620689,112.68103448275862,84.61479611353377
