LAD24CD,LAD24NM,quarter_year,n_casualties,n_collisions,base_2019,casualty_index,collision_index
E08000035,Leeds,2019 Q2,420,320,363.5,87.91208791208791,88.03301237964237
E08000035,Leeds,2019 Q3,505,375,363.5,105.70381998953428,103.1636863823934
E08000035,Leeds,2019 Q4,502,390,363.5,105.07587650444793,107.29023383768913
E08000035,Leeds,2020 Q1,337,278,363.5,70.53898482469911,76.47867950481431
E08000035,Leeds,2020 Q2,222,177,363.5,46.46781789638933,48.693259972489685
E08000035,Leeds,2020 Q3,367,291,363.5,76.81841967556254,80.05502063273728
E08000035,Leeds,2020 Q4,338,265,363.5,70.74829931972789,72.90233837689134
E08000035,Leeds,2021 Q1,222,173,363.5,46.46781789638933,47.59284731774415
E08000035,Leeds,2021 Q2,451,361,363.5,94.40083725798011,99.31224209078404
E08000035,Leeds,2021 Q3,539,413,363.5,112.82051282051282,113.61760660247593
E08000035,Leeds,2021 Q4,566,443,363.5,118.4720041862899,121.8707015130674
E08000035,Leeds,2022 Q1,487,379,363.5,101.93615907901622,104.26409903713893
E08000035,Leeds,2022 Q2,494,380,363.5,103.40136054421768,104.53920220082532
E08000035,Leeds,2022 Q3,523,397,363.5,109.47148090005233,109.21595598349381
E08000035,Leeds,2022 Q4,539,427,363.5,112.82051282051282,117.46905089408529
E08000035,Leeds,2023 Q1,413,327,363.5,86.44688644688645,89.95873452544704
E08000035,Leeds,2023 Q2,535,400,363.5,111.98325484039769,110.04126547455296
E08000035,Leeds,2023 Q3,431,337,363.5,90.2145473574045,92.70976616231087
E08000035,Leeds,2023 Q4,510,401,363.5,106.75039246467819,110.31636863823934
E08000035,Leeds,2024 Q1,453,354,363.5,94.81946624803767,97.38651994497937
E08000035,Leeds,2024 Q2,476,369,363.5,99.633699633699635,101.5130674002751
E08000035,Leeds,2024 Q3,486,368,363.5,101.72684458398744,101.23796423658872
E08000035,Leeds,2024 Q4,481,370,363.5,100.68027210884354,101.78817056396149
