quarter_year,group,type,n_casualties,n_lads,casualties_per_lad,base_2019,casualty_index
2016 Q2,Bradford,Cyclist,24,1,24,20,120
2016 Q2,Bradford,Other,38,1,38,19.75,192.40506329113924
2016 Q2,Bradford,Pedestrian,50,1,50,61,81.9672131147541
2016 Q2,Bradford's matched-control LADs,Car or van driver or occupant,5482,58,94.51724137931035,79.96982758620689,118.19112811944161
2016 Q2,Bradford's matched-control LADs,Cyclist,1106,58,19.06896551724138,17.58189655172414,108.4579553812209
2016 Q2,Bradford's matched-control LADs,Other,1187,58,20.46551724137931,15.288793103448278,133.8595996616859
2016 Q2,Bradford's matched-control LADs,Pedestrian,1272,58,21.93103448275862,21.67241379310345,101.19331742243436
2016 Q3,Bradford,Car or van driver or occupant,319,1,319,178,179.2134831460674
2016 Q3,Bradford,Cyclist,34,1,34,20,170
2016 Q3,Bradford,Other,34,1,34,19.75,172.15189873417722
2016 Q3,Bradford,Pedestrian,69,1,69,61,113.11475409836065
2016 Q3,Bradford's matched-control LADs,Car or van driver or occupant,5349,58,92.22413793103448,79.96982758620689,115.32366733142888
2016 Q3,Bradford's matched-control LADs,Cyclist,1278,58,22.03448275862069,17.58189655172414,125.32483451826427
2016 Q3,Bradford's matched-control LADs,Other,1270,58,21.896551724137932,15.288793103448278,143.21962221595712
2016 Q3,Bradford's matched-control LADs,Pedestrian,1244,58,21.448275862068964,21.67241379310345,98.96579156722353
2016 Q4,Bradford,Car or van driver or occupant,271,1,271,178,152.24719101123594
2016 Q4,Bradford,Cyclist,19,1,19,20,95
2016 Q4,Bradford,Other,34,1,34,19.75,172.15189873417722
2016 Q4,Bradford,Pedestrian,58,1,58,61,95.08196721311475
2016 Q4,Bradford's matched-control LADs,Car or van driver or occupant,5725,58,98.70689655172414,79.96982758620689,123.4301730178408
2016 Q4,Bradford's matched-control LADs,Cyclist,1122,58,19.344827586206897,17.58189655172414,110.02696739396912
2016 Q4,Bradford's matched-control LADs,Other,1215,58,20.948275862068964,15.288793103448278,137.01719763180148
2016 Q4,Bradford's matched-control LADs,Pedestrian,1554,58,26.79310344827586,21.67241379310345,123.62768496420047
2017 Q1,Bradford,Car or van driver or occupant,225,1,225,178,126.40449438202248
2017 Q1,Bradford,Cyclist,20,1,20,20,100
2017 Q1,Bradford,Other,21,1,21,19.75,106.32911392405063
2017 Q1,Bradford,Pedestrian,80,1,80,61,131.14754098360655
2017 Q1,Bradford's matched-control LADs,Car or van driver or occupant,4929,58,84.98275862068965,79.96982758620689,106.2685280008624
2017 Q1,Bradford's matched-control LADs,Cyclist,1073,57,18.82456140350877,17.58189655172414,107.06786579097903
2017 Q1,Bradford's matched-control LADs,Other,952,58,16.413793103448278,15.288793103448278,107.35833098393007
2017 Q1,Bradford's matched-control LADs,Pedestrian,1510,58,26.03448275862069,21.67241379310345,120.12728719172632
2017 Q2,Bradford,Car or van driver or occupant,217,1,217,178,121.91011235955057
2017 Q2,Bradford,Cyclist,36,1,36,20,180
2017 Q2,Bradford,Other,24,1,24,19.75,121.51898734177215
2017 Q2,Bradford,Pedestrian,48,1,48,61,78.68852459016394
2017 Q2,Bradford's matched-control LADs,Car or van driver or occupant,4776,58,82.34482758620689,79.96982758620689,102.96987010187031
2017 Q2,Bradford's matched-control LADs,Cyclist,1146,58,19.75862068965517,17.58189655172414,112.38048541309142
2017 Q2,Bradford's matched-control LADs,Other,1064,58,18.344827586206897,15.288793103448278,119.98872286439244
2017 Q2,Bradford's matched-control LADs,Pedestrian,1120,58,19.310344827586206,21.67241379310345,89.10103420843278
2017 Q3,Bradford,Car or van driver or occupant,241,1,241,178,135.3932584269663
2017 Q3,Bradford,Cyclist,34,1,34,20,170
2017 Q3,Bradford,Other,36,1,36,19.75,182.27848101265823
