scheme,variable,label,smd_before,smd_after
Portsmouth,trend_car_pkm,Trend: car/km,-0.0436,0.0297
Portsmouth,trend_cyc_pkm,Trend: cycling/km,-0.1534,-0.0932
Portsmouth,trend_ped_pkm,Trend: pedestrian/km,0.1646,0.0301
Portsmouth,trend_total_pkm,Trend: total injuries/km,-0.0747,-0.016
Portsmouth,log1p_mean_car_pkm,Mean: car/km (log),0.398,0.1011
Portsmouth,log1p_mean_cyc_pkm,Mean: cycling/km (log),1.0589,0.318
Portsmouth,log1p_mean_ped_pkm,Mean: pedestrian/km (log),0.8123,0.0962
Portsmouth,log1p_mean_total_pkm,Mean: total injuries/km (log),0.9179,0.2109
Sheffield,log1p_road_length_km,Road length (km),0.0292,0.0421
Sheffield,log1p_road_density_m_km2,Road density (m/km²),0.9909,0.6328
Sheffield,log_area_km2,Area (km²),-0.6545,-0.2532
Sheffield,pct_A_road,% A-road,0.3192,-0.2058
Sheffield,pct_B_road,% B-road,0.3492,0.2636
Sheffield,pct_minor_road,% Minor road,-0.4876,0.0653
Sheffield,log1p_dist_citycentre,Distance to city centre (m),1.4799,2.3702
Sheffield,log1p_pop_density,Population density (persons/km²),0.7798,0.1723
Sheffield,log1p_business_retail_per_km2,Retail businesses (per km²),2.1743,0.7285
Sheffield,IMD,Index of Multiple Deprivation,0.3483,-0.2378
Sheffield,cars_one_pct,% households: 1 car,-1.5541,-0.3781
Sheffield,cars_twoPlus_pct,% households: 2+ cars,-2.2806,-0.8606
Sheffield,Drive_Car_pct,% commuting: drive car,-2.5747,-0.4853
Sheffield,Passenger_Car_pct,% commuting: car passenger,-1.8629,-0.6576
Sheffield,Walk_pct,% commuting: walk,1.9422,0.338
Sheffield,Bicycle_pct,% commuting: bicycle,-0.6989,-0.4996
Sheffield,bus_Coach_pct,bus_Coach_pct,-0.2165,-0.3676
Sheffield,Train_pct,% commuting: train,0.1849,0.0152
Sheffield,Underground_train_tram_pct,% commuting: underground/tram,1.6407,1.3855
Sheffield,Taxi_pct,% commuting: taxi,-0.4057,-0.0598
Sheffield,workAthome_pct,% working from home,-0.5141,0.0616
Sheffield,Other_pct,% commuting: other mode,-0.2303,-0.2634
Sheffield,White_pct,% White,-1.5046,-0.8235
Sheffield,Mixed_pct,% Mixed ethnicity,0.5324,-0.2882
Sheffield,Asian_pct,% Asian,0.9703,0.8641
Sheffield,Black_pct,% Black,0.6316,0.1045
Sheffield,age_under15_pct,% aged under 15,-1.8741,-0.1667
Sheffield,age_15to24_pct,% aged 15–24,2.1063,0.0563
Sheffield,age_25to44_pct,% aged 25–44,0.9909,0.582
Sheffield,age_45to64_pct,% aged 45–64,-2.9194,-0.4962
Sheffield,age_65to84_pct,% aged 65–84,-2.1308,-0.965
Sheffield,trend_car_pkm,Trend: car/km,-0.1992,0.1478
Sheffield,trend_cyc_pkm,Trend: cycling/km,0.0418,0.0338
Sheffield,trend_ped_pkm,Trend: pedestrian/km,0.0799,0.0483
Sheffield,trend_total_pkm,Trend: total injuries/km,-0.2239,-0.0232
Sheffield,log1p_mean_car_pkm,Mean: car/km (log),0.7021,0.0583
Sheffield,log1p_mean_cyc_pkm,Mean: cycling/km (log),0.5226,-0.0324
Sheffield,log1p_mean_ped_pkm,Mean: pedestrian/km (log),0.9353,0.0021
Sheffield,log1p_mean_total_pkm,Mean: total injuries/km (log),1.1455,0.0393
