group3,quarter_year,n_roads,mean_injuries,total_injuries,pct_zero,baseline_mean,index_2019q2_2020q1
Matched controls,2017 Q1,91838,0.012788219631473233,1464.37903,98.97825517422059,0.010528013841585887,121.46849181523187
Matched controls,2017 Q2,91838,0.011707415072919395,1340.6161,99.08741594620557,0.010528013841585887,111.20250456619698
Matched controls,2017 Q3,91838,0.01203550109160772,1378.18523,99.07344336739149,0.010528013841585887,114.31881903562119
Matched controls,2017 Q4,91838,0.013414351410357175,1536.07738,98.95205658894419,0.010528013841585887,127.41578432743117
Matched controls,2018 Q1,91838,0.011237343638110207,1286.78822,99.11798096236136,0.010528013841585887,106.73754620004821
Matched controls,2018 Q2,91838,0.011665585887695399,1335.82624,99.04462492358745,0.010528013841585887,110.80519139912296
Matched controls,2018 Q3,91838,0.010604377783599687,1214.3073,99.12758711029605,0.010528013841585887,100.72534044087368
Matched controls,2018 Q4,91838,0.012149063225919134,1391.18923,99.04025849270806,0.010528013841585887,115.39748530658335
Matched controls,2019 Q1,91838,0.009483702296742643,1085.97875,99.2210287311152,0.010528013841585887,90.08064046498315
Matched controls,2019 Q2,91838,0.010484919657671819,1200.62815,99.13719325823072,0.010528013841585887,99.59067128365803
Matched controls,2019 Q3,91838,0.010103061217360928,1156.90154,99.2035630075976,0.010528013841585887,95.96360120133592
Matched controls,2019 Q4,91838,0.011631403982184964,1331.91207,99.04549820976334,0.010528013841585887,110.48051567182276
Matched controls,2020 Q1,91838,0.009892670509125841,1132.8097,99.19395685966292,0.010528013841585887,93.96521184318333
Matched controls,2020 Q2,91838,0.004392951357960004,503.03686,99.63409309230636,0.010528013841585887,41.72630682349361
Matched controls,2020 Q3,91838,0.007480329403545541,856.57252,99.37385381189415,0.010528013841585887,71.05166763742345
Matched controls,2020 Q4,91838,0.008076073792681862,924.79121,99.31796349663784,0.010528013841585887,76.71032650794201
Matched controls,2021 Q1,91838,0.005266118242948214,603.0232,99.55899048118069,0.010528013841585887,50.02005432541255
Matched controls,2021 Q2,91838,0.011924360230547552,1365.45849,99.07693651209502,0.010528013841585887,113.26315115056238
Matched controls,2021 Q3,91838,0.012011327394987338,1375.4171,99.07955637062265,0.010528013841585887,114.0892059577499
Matched controls,2021 Q4,91838,0.014033776089424502,1607.0076999999999,98.94507029953716,0.010528013841585887,133.2993696682918
Matched controls,2022 Q1,91838,0.008792671906383722,1006.84886,99.28652519430618,0.010528013841585887,83.51691058433524
Matched controls,2022 Q2,91838,0.008588399790411318,983.45766,99.28565190813029,0.010528013841585887,81.57663847749657
Matched controls,2022 Q3,91838,0.010309783774342851,1180.57334,99.1991965767182,0.010528013841585887,97.92714874308939
Matched controls,2022 Q4,91838,0.009706233953366518,1111.46085,99.21404244170814,0.010528013841585887,92.19435022992351
Matched controls,2023 Q1,91838,0.008515043576980175,975.05764,99.30311763164788,0.010528013841585887,80.8798668495815
Matched controls,2023 Q2,91838,0.00960387974849358,1099.74027,99.24286088551219,0.010528013841585887,91.22214211533465
Matched controls,2023 Q3,91838,0.009053460309143306,1036.71174,99.25246703344686,0.010528013841585887,85.99400081886232
Matched controls,2023 Q4,91838,0.009966374639769453,1141.24956,99.18522399790412,0.010528013841585887,94.66528815152249
Matched controls,2024 Q1,91838,0.008104089861147499,927.99933,99.34852851279365,0.010528013841585887,76.97643623088872
Matched controls,2024 Q2,91838,0.008592902453934155,983.97326,99.29875120076849,0.010528013841585887,81.6194068817805
Matched controls,2024 Q3,91838,0.008581442494105317,982.66098,99.29700462841673,0.010528013841585887,81.51055482287104
Matched controls,2024 Q4,91838,0.008734889791284605,1000.23223,99.26119989520565,0.010528013841585887,82.96806902724232
