control_OA,matched_schemes,matched_to,n_pair_rows,n_treated_matched,max_distance_km,mean_distance_km,LAD24CD,LAD24NM,area_km2,map_geom_area_km2,n_roads,road_length_km,road_density_m_km2,pop_density,mean_total_pkm,trend_total_pkm,extreme_area_control,extreme_distance_control
E00070271,Newcastle,E00190004,1,1,227.31766955962297,227.31766955962297,E06000018,Nottingham,0.028969844878991017,0.028969844878991017,19,0.5918532655271883,20429.977032994106,8733.219009518274,0.23424640544393724,0.3650072817816291,FALSE,FALSE
E00064588,Portsmouth,E00086043,1,1,332.9957887028458,332.9957887028458,E06000010,"Kingston upon Hull, City of",0.0289051405992363,0.0289051405992363,11,0.4026012216407341,13928.360606257393,9652.262338671047,0.12419237029692395,-0.20847762944635573,FALSE,FALSE
E00084853,Bradford,E00054574,1,1,204.54856446532014,204.54856446532014,E06000042,Milton Keynes,0.028852622080871835,0.028852622080871835,18,0.6858997641673814,23772.527926399667,9635.17281794306,0.06974561371670902,-20.41349357113681,FALSE,FALSE
E00070272,Portsmouth,E00086370,1,1,237.61920829819888,237.61920829819888,E06000018,Nottingham,0.028795234866664045,0.028795234866664045,28,0.8506948960379905,29542.905275026304,10001.65483398834,0.40430241394635136,-0.15612476805566475,FALSE,FALSE
E00085700,Newcastle,E00175585,1,1,470.4807166654853,470.4807166654853,E06000043,Brighton and Hove,0.02878984231285192,0.02878984231285192,16,0.4537850035850425,15761.982947105991,8787.821664693856,1.1000242318639144,0.006051333422978469,FALSE,FALSE
E00068800,Bradford,E00054422,1,1,138.539142260713,138.539142260713,E06000016,Leicester,0.028744881611714606,0.028744881611714606,11,0.46777026132163524,16273.16708554477,12419.60237729799,0.526217719152415,0.008738514692501432,FALSE,FALSE
E00108331,Portsmouth,E00086041,1,1,138.07208330048462,138.07208330048462,E07000066,Basildon,0.02866794337718864,0.02866794337718864,15,0.4735708369954077,16519.177213536448,15696.975331619686,0.18905197069993604,0.033666674738564543,FALSE,FALSE
E00086629,Portsmouth,"E00086037, E00179945",2,2,25.94669013705111,25.65183062673462,E06000045,Southampton,0.028663666414518375,0.028663666414518375,5,0.32624643991466634,11381.88099165918,14199.160502155832,1.0124248408239915,0.034747625704949166,FALSE,FALSE
E00176052,Birmingham; Newcastle,"E00175585, E00175718",2,2,170.03326904228973,142.24934261483367,E08000003,Manchester,0.02859253160626441,0.02859253160626441,32,1.1194293355702891,39151.10949199862,9268.154483457507,1.1155938658368185,0.042519710956419966,FALSE,FALSE
E00145432,Birmingham,E00186158,1,1,93.7587395395684,93.7587395395684,E07000178,Oxford,0.028591000072495314,0.028591000072495314,8,0.35561672113140025,12438.065133423064,11262.285305989195,0.6801015971086312,0.20726534345809086,FALSE,FALSE
