scheme,quarter_year,group,n_units,mean_injuries,total_injuries,caz_start_q,implementation_period
Bath,2018 Q1,Matched controls,193,0.0498960103626943,9.62993,2021 Q2,Pre implementation
Bath,2018 Q2,CAZ roads,191,0.049577329842931936,9.46927,2021 Q2,Pre implementation
Bath,2018 Q2,Matched controls,193,0.05121518134715026,9.88453,2021 Q2,Pre implementation
Bath,2018 Q3,CAZ roads,191,0.03984780104712042,7.61093,2021 Q2,Pre implementation
Bath,2018 Q3,Matched controls,193,0.0879100518134715,16.966639999999998,2021 Q2,Pre implementation
Bath,2018 Q4,CAZ roads,191,0.049830575916230364,9.51764,2021 Q2,Pre implementation
Bath,2018 Q4,Matched controls,193,0.039610103626943005,7.64475,2021 Q2,Pre implementation
Bath,2019 Q1,CAZ roads,191,0.024599633507853404,4.69853,2021 Q2,Pre implementation
Bath,2019 Q1,Matched controls,193,0.05625088082901555,10.85642,2021 Q2,Pre implementation
Bath,2019 Q2,CAZ roads,191,0.05966753926701571,11.3965,2021 Q2,Pre implementation
Bath,2019 Q2,Matched controls,193,0.09705316062176166,18.73126,2021 Q2,Pre implementation
Bath,2019 Q3,CAZ roads,191,0.06350104712041885,12.1287,2021 Q2,Pre implementation
Bath,2019 Q3,Matched controls,193,0.040472694300518135,7.81123,2021 Q2,Pre implementation
Bath,2019 Q4,CAZ roads,191,0.09616696335078534,18.36789,2021 Q2,Pre implementation
Bath,2019 Q4,Matched controls,193,0.04002300518134715,7.7244399999999995,2021 Q2,Pre implementation
Bath,2020 Q1,CAZ roads,191,0.0345465445026178,6.59839,2021 Q2,Pre implementation
Bath,2020 Q1,Matched controls,193,0.03046585492227979,5.87991,2021 Q2,Pre implementation
Bath,2020 Q2,CAZ roads,191,0.020097225130890052,3.83857,2021 Q2,Pre implementation
Bath,2020 Q2,Matched controls,193,0,0,2021 Q2,Pre implementation
Bath,2020 Q3,CAZ roads,191,0.03446884816753927,6.583550000000001,2021 Q2,Pre implementation
